,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,X,Y,CCN,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,OBJECTID,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE,AGE,TIME_TO_REPORT,Year,Month,Day,hour,dayofyear,week,weekofyear,dayofweek,weekday,quarter
Unnamed: 0,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
Unnamed: 0.1,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
Unnamed: 0.1.1,1.0,1.0,1.0,-0.007558882053700946,0.016129518776365388,0.9750622923044177,-0.007565256423817146,0.01612841526261695,-0.014288915922541737,-0.013243768435795396,-0.026251674762098894,-0.026635720640676604,-0.01996660792154965,-0.002014653088427915,-0.010951017304516636,0.016129518769202364,-0.007558881400349911,-0.3112197896557526,-0.026546298332865915,-0.026445262718100365,0.04000677682575277,-0.07093486181392299,-0.03230544491380895,0.05818228408935936,-0.0015511115083123284,0.005004827555849774,0.9589707540445396,-0.0510868685588472,0.0033535541208012743,0.02986653834314158,-0.05143562964228508,-0.048640531999881643,-0.048640531999881643,-0.008933570671959663,-0.008933570671959663,-0.053553768186464484
X,-0.007558882053700946,-0.007558882053700946,-0.007558882053700946,1.0,-0.4473573325233248,-0.005597689226895887,0.9999999455034992,-0.44736018435541985,0.7332811426566596,0.7280029936935253,0.6026226863726108,0.603360381792199,0.7475425173163608,0.6446315955975541,0.5874617874374309,-0.4473573673315159,0.9999999999999755,-0.014864426795741893,0.603299000700702,0.6027262841032909,0.053372884640971764,0.22066264845027342,0.14347515743704886,-0.16727901660640784,-0.00255113893447952,-0.0018039897458729886,-0.001581900887118778,0.005493688967015739,0.00798104967727163,-0.016718477846307728,0.006119210201656557,0.004798068271671827,0.004798068271671827,-0.012813830428408068,-0.012813830428408068,0.006798605393570095
Y,0.016129518776365388,0.016129518776365388,0.016129518776365388,-0.4473573325233248,1.0,0.016282154028397947,-0.4472861636489313,0.9999999711435112,-0.6104731566236375,-0.6123242898249326,-0.3467439479769579,-0.3500412880258444,-0.5539658607453353,-0.5326052407675231,-0.5504675940559604,1.0000000000000262,-0.4473572907010311,0.0018549824423612904,-0.34991836496295764,-0.3467911653394472,-0.03665252670277628,-0.11280762939397386,-0.1074129994300748,0.12107599597589053,-0.004428608115863634,-0.0009448822146099688,0.014951066418811948,-0.00736088717676614,-0.005531485065354337,-0.013675533939051509,-0.007869493830221666,-0.007099878727690756,-0.007099878727690756,0.010986365912327836,0.010986365912327836,-0.00827726319859527
CCN,0.9750622923044177,0.9750622923044177,0.9750622923044177,-0.005597689226895887,0.016282154028397947,1.0,-0.005603223927877746,0.01628149622147453,-0.012262315178022351,-0.011291861135904864,-0.02266534500838478,-0.02304305959165484,-0.017101365863783132,-0.0024220358124474005,-0.010043799278573158,0.01628215393328018,-0.005597688519255941,-0.313136208625918,-0.02294073319235654,-0.02283693262650046,0.03987004616296445,-0.0695777788923255,-0.032069743671122045,0.05721562660007105,-0.001534709125918678,0.04327938953856929,0.9475392010148725,-0.08758632808070109,-0.0006817514169244317,0.02815470657353114,-0.08818539769826135,-0.08460324114396489,-0.08460324114396489,-0.0090133125723249,-0.0090133125723249,-0.09011872513982355
XBLOCK,-0.007565256423817146,-0.007565256423817146,-0.007565256423817146,0.9999999455034992,-0.4472861636489313,-0.005603223927877746,1.0,-0.4472889735482426,0.733320171638472,0.7280425099980846,0.6026936505235013,0.6034304351264362,0.7476089255328378,0.6445118674943254,0.5874591780399444,-0.44728619845853557,0.9999999455072925,-0.014863576979172503,0.6033691115906131,0.602797331840775,0.05336345454182279,0.2206868186542528,0.14348629540074465,-0.16728948425673293,-0.002551986058942747,-0.0018036819959021248,-0.0015868827054438953,0.005492022436274855,0.00798217392317112,-0.01671808570508502,0.0061176210649835,0.004796612467749668,0.004796612467749668,-0.012823077026214583,-0.012823077026214583,0.00679683668112834
YBLOCK,0.01612841526261695,0.01612841526261695,0.01612841526261695,-0.44736018435541985,0.9999999711435112,0.01628149622147453,-0.4472889735482426,1.0,-0.6104712744114954,-0.6123179175802628,-0.3467282472033584,-0.350025666615367,-0.5539529980341356,-0.5326534570634933,-0.5505017677516034,0.9999999711438267,-0.44736014253305845,0.001853884891985734,-0.34990270276820723,-0.3467754281043559,-0.03665789810589774,-0.11280524846691832,-0.10741231233429908,0.12107770072794143,-0.004428309837351248,-0.000944500832223209,0.014950443867071549,-0.0073620284894525675,-0.005531136600695032,-0.013673461581465629,-0.00787061791948889,-0.0071009741410213425,-0.0071009741410213425,0.010981823456603175,0.010981823456603175,-0.008278501942928028
WARD,-0.014288915922541737,-0.014288915922541737,-0.014288915922541737,0.7332811426566596,-0.6104731566236375,-0.012262315178022351,0.733320171638472,-0.6104712744114954,1.0,0.9954367120010184,0.5788048271991956,0.5796071707308024,0.9025049352712493,0.5616706723402944,0.5891720441365346,-0.6104731766052245,0.7332811279213749,-0.00958983036617559,0.579367069626089,0.5787572702901922,0.015108188080796869,0.21762492457810773,0.14708010433898167,-0.1646429085852633,0.0013858232685831928,-0.001807030598934944,-0.008266375802849103,0.005528383553626566,0.00827953472190802,-0.007415560007071356,0.00619148591653532,0.005184202251259362,0.005184202251259362,-0.029374941233210543,-0.029374941233210543,0.006959682629658266
ANC,-0.013243768435795396,-0.013243768435795396,-0.013243768435795396,0.7280029936935253,-0.6123242898249326,-0.011291861135904864,0.7280425099980846,-0.6123179175802628,0.9954367120010184,1.0,0.5788017427916031,0.5795741517721906,0.8977669470807235,0.5559537373262815,0.5823337920689632,-0.6123243095409022,0.7280029787347626,-0.009653080586125387,0.5793082998240923,0.578723543159782,0.015718987198032986,0.2166997083021914,0.14671260708154182,-0.16433258495412237,0.0013979447696507686,-0.0017248198840463832,-0.00736321129187463,0.0050340386976539635,0.008467818077362665,-0.005825325552971016,0.005715658055165409,0.004718391438448559,0.004718391438448559,-0.02952696783957769,-0.02952696783957769,0.006399048332535891
