CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11001000100,District of Columbia,District of Columbia,5209,2388,2821,10.5,81.9,1.3,0.2,4.9,0,3554,175048,30804,127012,18222,3.6,0,83.2,4.3,12,0,0.4,30.2,2.8,20.2,21.1,12.1,13.6,25,3209,71.7,22.5,5.8,0,4.2
11001000201,District of Columbia,District of Columbia,3685,1582,2103,9.1,65.5,7.4,0,13.4,0,3138,,,3481,811,77.5,,33.6,20.1,42.3,1.2,2.7,2.1,4,6.5,74.7,3.3,9.4,11.1,1206,94.5,3.3,0,2.2,7.3
11001000202,District of Columbia,District of Columbia,4817,2195,2622,5.9,79.8,7.4,0.2,4.2,0,3972,153705,15708,71335,11802,22.5,2.2,70.6,10.1,18.6,0,0.6,29.4,2.4,31,24.5,3.2,9.5,21.2,2328,80.2,12.9,6.7,0.3,4.4
11001000300,District of Columbia,District of Columbia,6095,2853,3242,6.8,79,6,0,5.7,0,4954,125078,15785,70302,8041,15.4,0,65.6,10.7,21.2,1.8,0.6,45.8,3.9,22.7,15.3,4.4,8,27,4088,74.4,21.7,3.8,0,3.2
11001000400,District of Columbia,District of Columbia,1578,807,771,16.1,66.1,4.9,0,8.2,0,982,178750,67039,140834,23554,9.9,6,72.4,14.4,9.9,1.4,2,47.7,10.4,7.2,9.3,5.1,20.2,25.5,812,61,25.2,13.8,0,2.2
11001000501,District of Columbia,District of Columbia,3502,1582,1920,14.6,71.4,3.9,2.5,4.3,0,2781,107448,6566,88510,13382,6.4,16.9,85,0.6,12.8,1.5,0.1,28.9,7.2,46.3,8,6.1,3.5,28.4,2575,67,28.3,4.7,0,2.3
11001000502,District of Columbia,District of Columbia,2973,1186,1787,10.4,78.9,3.1,0,5.2,0,2464,114152,12619,91455,8831,2.1,0,85.9,2.1,12.1,0,0,23.9,8.2,52,6.7,3.2,6.1,27.4,2107,63.2,30.5,6.3,0,2
11001000600,District of Columbia,District of Columbia,4722,2040,2682,11.8,74.9,7.2,0,4.3,0,3685,158625,52588,107737,12311,8.9,7.3,82,6.4,8.7,2,0.9,40.8,5.3,40.8,5.1,4.5,3.5,28.8,2846,65,27,8,0,3
11001000701,District of Columbia,District of Columbia,5245,1854,3391,4.3,74.7,6.8,0,8.4,0,4245,80223,11432,76755,9892,9.9,9.2,65.8,10,19.7,2,2.4,46.6,11.9,25.9,7,3.5,5.2,25.8,3039,66.2,24.8,8.1,0.9,3.9
11001000702,District of Columbia,District of Columbia,3316,1433,1883,7.2,79,5.3,0.2,6.8,0,2552,72346,13388,56371,6142,12.5,0,76.2,4.8,19,0,0,37,6.6,34.5,15.6,3.2,3.1,34.5,2482,72.8,23.4,3,0.8,4
